"Iteration","Removed_Species","Success","Error_Message"
38,"Cebus_capucinus_imitator",TRUE,NA
39,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
40,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
41,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
42,"Ailuropoda_melanoleuca",TRUE,NA
43,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
44,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
45,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
46,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
47,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
48,"Papio_anubis",TRUE,NA
49,"Pan_paniscus",TRUE,NA
50,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
51,"Equus_asinus_asinus",FALSE,"non-numeric argument to binary operator"
52,"Homo_sapiens",FALSE,"non-numeric argument to binary operator"
53,"Cebus_capucinus_imitator",TRUE,NA
54,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
55,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
56,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
57,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
58,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
59,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
60,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
61,"Papio_anubis",TRUE,NA
62,"Macaca_nemestrina",TRUE,NA
63,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
64,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
65,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
66,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
67,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
68,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
69,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
70,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
71,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
72,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
73,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
74,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
75,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
76,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
77,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
78,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
79,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
80,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
81,"Macaca_fascicularis",TRUE,NA
82,"Tursiops_truncatus",TRUE,NA
83,"Macaca_fascicularis",TRUE,NA
84,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
85,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
86,"Equus_asinus_asinus",FALSE,"non-numeric argument to binary operator"
87,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
88,"Neovison_vison",TRUE,NA
89,"Felis_catus",TRUE,NA
90,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
91,"Ictidomys_tridecemlineatus",FALSE,"non-numeric argument to binary operator"
92,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
93,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
94,"Homo_sapiens",FALSE,"non-numeric argument to binary operator"
95,"Macaca_mulatta",TRUE,NA
96,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
97,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
98,"Pan_paniscus",TRUE,NA
99,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
100,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
101,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
102,"Neovison_vison",TRUE,NA
103,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
104,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
105,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
106,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
107,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
108,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
109,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
110,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
111,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
112,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
113,"Ictidomys_tridecemlineatus",FALSE,"non-numeric argument to binary operator"
114,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
115,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
116,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
117,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
118,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
119,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
120,"Panthera_pardus",TRUE,NA
121,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
122,"Neovison_vison",TRUE,NA
123,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
124,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
125,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
126,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
127,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
128,"Macaca_mulatta",TRUE,NA
129,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
130,"Macaca_mulatta",TRUE,NA
131,"Papio_anubis",TRUE,NA
132,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
133,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
134,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
135,"Macaca_nemestrina",TRUE,NA
136,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
137,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
138,"Macaca_mulatta",TRUE,NA
139,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
140,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
141,"Macaca_mulatta",TRUE,NA
142,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
143,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
144,"Felis_catus",TRUE,NA
145,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
146,"Neovison_vison",TRUE,NA
147,"Equus_asinus_asinus",FALSE,"non-numeric argument to binary operator"
148,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
149,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
150,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
151,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
152,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
153,"Macaca_mulatta",TRUE,NA
154,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
155,"Macaca_nemestrina",TRUE,NA
156,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
157,"Papio_anubis",TRUE,NA
158,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
159,"Colobus_angolensis_palliatus",TRUE,NA
160,"Ailuropoda_melanoleuca",TRUE,NA
161,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
162,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
163,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
164,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
165,"Capra_hircus",TRUE,NA
166,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
167,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
168,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
169,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
170,"Tursiops_truncatus",TRUE,NA
171,"Panthera_pardus",TRUE,NA
172,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
173,"Papio_anubis",TRUE,NA
174,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
175,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
176,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
177,"Papio_anubis",TRUE,NA
178,"Ailuropoda_melanoleuca",TRUE,NA
179,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
180,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
181,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
182,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
183,"Colobus_angolensis_palliatus",TRUE,NA
184,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
