"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"PTHR10026_SF45",7.3185933725887,0.00915775006271215,0.00851122740579348,0.926842235325065,1.18597969603358,-1.78830747749732e-05,0.440479237032348,0.000193841202515823,2.69247582252437,-0.092256313636485,0.00947222989459295,0.926842235325065
"PTHR10026_SF60",2.48124613036942,0.121161950405724,2.39519497612539,0.127659600717848,1.41988945793017,-0.00054570047593734,0.801241145145237,0.0003526012897373,1.77211251136235,-1.54764174669896,0.0821240029892393,0.127659600717848
"PTHR10026_SF66",27.8449837112529,2.4875069258828e-06,0.534069685546598,0.468119394729447,1.18586571096263,-7.15906339230502e-05,0.222605858951684,9.79619100254965e-05,5.3271990079112,-0.730800715343518,2.07747538419963e-06,0.468119394729447
"PTHR10027_SF14",4.39204507209846,0.0408994134666053,0.51334326582277,0.476840556749515,0.999228965588518,-0.000144918262088322,0.459619587927233,0.000202264275210546,2.1740347710044,-0.716479773491736,0.0341890763062421,0.476840556749515
"PTHR10027_SF23",12.2356250053915,0.00095787823432328,0.382116478696319,0.539120152453525,0.853342973790578,6.86692572155518e-05,0.25243165388048,0.000111087314060292,3.38049115739904,0.618155707485031,0.00136478345638899,0.539120152453525
"PTHR10027_SF9",39.5361077847601,6.28706810151069e-08,19.5677980764418,4.86013986560057e-05,0.884545354595382,0.000306200325544279,0.157294673211832,6.92204899602928e-05,5.62349211536327,4.42355039266445,7.14314611432931e-07,4.86013986560057e-05
"PTHR10029_SF5",18.3233788942868,7.85315610518079e-05,0.00121607919664586,0.972312555174267,2.20785193124469,7.99945135039932e-06,0.521265063565211,0.00022939253035336,4.2355647549905,0.034872327089626,9.12216054989866e-05,0.972312555174267
"PTHR10030",92.8730855630348,3.01554428745241e-13,0.230424943882142,0.633184163785059,2.2204451602338,-4.8798424134784e-05,0.231004477964967,0.000101657880850309,9.61213037857446,-0.480025982507345,3.2937317111572e-13,0.633184163785059
"PTHR10031_SF3",14.1240583035433,0.000427946727572028,0.00966208324041635,0.922068155127078,2.20437071248973,2.57060320824444e-05,0.59426342868592,0.000261516838804357,3.70941674362193,0.0982958963559332,0.000498778021708133,0.922068155127078
"PTHR10032_SF11",23.3271665783682,1.20515375261638e-05,3.59423968869463,0.0634381052338016,1.05350807218751,0.000194240051846014,0.232816959938073,0.000102455497754052,4.52504865825812,1.89584801307875,3.44451134631097e-05,0.0634381052338016
"PTHR10032_SF188",3.22692508384656,0.0781367917043992,0.0604425319909456,0.806747466309579,0.904316768336625,-5.39620883980251e-05,0.498765919918382,0.000219491357509298,1.81310857903966,-0.245850629429631,0.0754795445820111,0.806747466309579
"PTHR10032_SF189",5.35337594557672,0.0245912425475141,0.588939026617792,0.446235147999792,0.915363014813926,-0.00012896936770733,0.381883373144308,0.000168054986586474,2.39697006779089,-0.767423629176084,0.0200895732266957,0.446235147999792
"PTHR10032_SF190",29.0499088747104,1.65979829789883e-06,7.65429089117046,0.00778078281151991,1.11555854530677,-0.000237547686330064,0.195109164777027,8.58614707404685e-05,5.71761222278639,-2.76663891593581,5.07599662694305e-07,0.00778078281151991
"PTHR10032_SF198",4.73454336658236,0.0340417539030685,0.0720782763684091,0.789376762469853,0.892227314032624,-4.80865775606624e-05,0.407006193944517,0.000179110758085062,2.19217134114242,-0.268473977078616,0.0327805148225228,0.789376762469853
