"","F_value Intercept","p_value Intercept","F_value Brain.mass..g.","p_value Brain.mass..g.","Coefficient Intercept","Coefficient Brain.mass..g.","Coef SE Intercept","Coef SE Brain.mass..g.","Coef tval Intercept","Coef tval Brain.mass..g.","Coef pval Intercept","Coef pval Brain.mass..g.","R t value Brain.mass..g.","p.adjusted GFS vs.Brain.mass..g."
"PTHR15967_SF0",5.2784785022053,0.0251547192015475,0.0136689357468289,0.907325103095001,1.03368400695869,2.34515442991684e-05,0.457052996823842,0.000200587606192955,2.26162833225464,0.116914223885842,0.0274199168614052,0.907325103095001,0.0152191726227714,0.999797905066956
"PTHR15970",40.8238835102094,2.8959621953162e-08,0.316938861540748,0.57558631913455,2.41953580373451,-9.3296710883258e-05,0.377607882714486,0.000165721397298883,6.40753520912049,-0.562973233414119,2.69957973885519e-08,0.57558631913455,-0.0730968027791486,0.999797905066956
"PTHR15975",156.852597364872,2.9097917823806e-18,0.0141187398188062,0.90581978330401,1.0151947572153,-4.25941320224959e-06,0.0816797256735649,3.5846916574693e-05,12.4289687415522,-0.11882230354107,4.03997420056164e-18,0.90581978330401,-0.0154674957178674,0.999797905066956
"PTHR15976",54.8630106006491,5.52987989748116e-10,0.744878949143751,0.39159730338147,2.86037918280249,0.00014991984806022,0.395802696184464,0.000173706585240834,7.22678043979116,0.86306369935466,1.11719193584317e-09,0.39159730338147,0.111658684700407,0.999797905066956
"PTHR15977",5.65435401618816,0.0206706643597495,1.31612489656719,0.255919638712914,1.20857425738861,0.000276024363721531,0.548228148616476,0.000240601796165355,2.20450967437299,1.14722486748117,0.0314008041945318,0.255919638712914,0.147717461704458,0.981321191457152
"PTHR15992",8.17775649961951,0.00585447910804226,0.207073019540337,0.650741389700128,0.824218202934955,-5.68625278465794e-05,0.284725831323885,0.000124958097471068,2.8947784579383,-0.455052765666067,0.00531144013321771,0.650741389700128,-0.0591391342311766,0.999797905066956
"PTHR15999",11.6955589381697,0.00114243541542523,2.79947879453794,0.0995897165791578,1.46937425750938,0.000340643567967673,0.463899673944812,0.000203592418728078,3.16743972897076,1.67316430590003,0.00243560570040646,0.0995897165791578,0.212836537426938,0.551138973053222
"PTHR16001",61.9149236362506,9.12950271894852e-11,0.0438384204307642,0.834875793013997,2.01202815413215,-2.36220947596638e-05,0.257071199495565,0.000112821263368374,7.82673499824262,-0.209376265203972,1.07480892138418e-10,0.834875793013997,-0.0272483467430454,0.999797905066956
"PTHR16002",19.7963378094587,3.87867719961036e-05,0.228294657456337,0.634556721184735,1.96947990894338,-9.23216746348702e-05,0.440269159777487,0.00019322165581246,4.47335423162221,-0.477801901896944,3.56682559971872e-05,0.634556721184735,-0.0620845103091565,0.999797905066956
"PTHR16004_SF1",6.14052561083667,0.0160931179789652,23.4108069506837,9.77527586876429e-06,0.73409497361754,0.000859506363084175,0.40476538924355,0.000177640057197604,1.81363079236953,4.83847155108756,0.0748211729190699,9.77527586876429e-06,0.532986376761401,0.00106429116339852
"PTHR16007_SF10",45.8741791064461,6.54490399065115e-09,0.765213527959349,0.385248997497083,1.32931870090234,-7.47285195450642e-05,0.194651396675752,8.54269810561009e-05,6.82922765315013,-0.874764841519907,5.26034936825894e-09,0.385248997497083,-0.113153262902767,0.999797905066956
