2024-12-17 03:34:37 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:38 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:39 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:42 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:43 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:43 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:43 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:44 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:44 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:44 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:44 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:45 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:48 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:50 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:51 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:51 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:57 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:57 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:58 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:59 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:00 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:01 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:02 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:02 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:02 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:03 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:03 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:05 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:05 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:05 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:05 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:08 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:12 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:13 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:13 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:13 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:14 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:14 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:16 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:17 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:19 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:19 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:21 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:22 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:22 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:22 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:22 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:23 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:24 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:24 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:24 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:26 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:27 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:30 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:31 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:34 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:34 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:40 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:41 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:42 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:42 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:42 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:44 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:45 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
