"Iteration","Removed_Species","Success","Error_Message"
78,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
79,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
80,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
81,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
82,"Neovison_vison",TRUE,NA
83,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
84,"Macaca_mulatta",TRUE,NA
85,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
86,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
87,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
88,"Ictidomys_tridecemlineatus",FALSE,"non-numeric argument to binary operator"
89,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
90,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
91,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
92,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
93,"Tursiops_truncatus",TRUE,NA
94,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
95,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
96,"Tursiops_truncatus",TRUE,NA
97,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
98,"Cebus_capucinus_imitator",TRUE,NA
99,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
100,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
101,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
102,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
103,"Pan_paniscus",TRUE,NA
104,"Capra_hircus",TRUE,NA
105,"Papio_anubis",TRUE,NA
106,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
107,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
108,"Macaca_mulatta",TRUE,NA
109,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
110,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
111,"Colobus_angolensis_palliatus",TRUE,NA
112,"Felis_catus",TRUE,NA
113,"Papio_anubis",TRUE,NA
114,"Cebus_capucinus_imitator",TRUE,NA
115,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
116,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
117,"Capra_hircus",TRUE,NA
118,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
119,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
120,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
121,"Papio_anubis",TRUE,NA
122,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
123,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
124,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
125,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
126,"Colobus_angolensis_palliatus",TRUE,NA
127,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
128,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
129,"Macaca_nemestrina",TRUE,NA
130,"Tursiops_truncatus",TRUE,NA
131,"Ictidomys_tridecemlineatus",FALSE,"non-numeric argument to binary operator"
132,"Macaca_mulatta",TRUE,NA
133,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
134,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
135,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
136,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
137,"Pan_paniscus",TRUE,NA
138,"Panthera_pardus",TRUE,NA
139,"Panthera_pardus",TRUE,NA
140,"Ictidomys_tridecemlineatus",FALSE,"non-numeric argument to binary operator"
141,"Capra_hircus",TRUE,NA
142,"Ictidomys_tridecemlineatus",FALSE,"non-numeric argument to binary operator"
143,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
144,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
