"","F_value Intercept","p_value Intercept","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient cEi","Coef SE Intercept","Coef SE cEi","Coef tval Intercept","Coef tval cEi","Coef pval Intercept","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi"
"PTHR22961",459.895348141829,6.32643963171665e-25,0.355431784807055,0.55410921349183,4.13568122493902,-0.116237004588651,0.27895620304508,0.194969320694757,14.8255574882151,-0.596181000038625,1.0081289365927e-18,0.55410921349183,-0.089516836415477,0.828859206872409
"PTHR22962_SF12",15.6852405487724,0.00027002088891664,0.0202253840070286,0.887558633618512,1.83663254076224,-0.06723127124728,0.676382993955612,0.472740636062144,2.71537362289562,-0.142215976623685,0.00942315784974592,0.887558633618512,-0.021434939256247,0.960752547439211
"PTHR22964_SF54",31.7710718783518,1.15111359206842e-06,7.29011953367088,0.00980305531726148,3.0725118344962,0.981761881217427,0.520245803436037,0.363612530508349,5.90588489941363,2.70002213577424,4.63956836570854e-07,0.00980305531726148,0.377007915942228,0.0683511099657588
"PTHR22968",203.981229980784,3.95267782833978e-18,0.496113319935931,0.484924375176844,2.91596134626243,-0.148640816803502,0.301937728879378,0.211031671814865,9.6574924806013,-0.704353121620066,1.93556440790251e-12,0.484924375176844,-0.105591608325104,0.78838333951707
"PTHR22969",756.043065959267,2.38202763965387e-29,0.331082925465418,0.567953253837167,3.85089672149561,-0.080905723665471,0.201178052370929,0.140608266750447,19.1417337831434,-0.575398058273938,5.84121532466321e-23,0.567953253837167,-0.0864199920016424,0.83447767597532
"PTHR22973",406.691574855294,7.40711183687114e-24,0.151636701429547,0.698854551310881,2.04235756222274,0.0380468821638683,0.139793395445354,0.0977050269901677,14.6098287098342,0.389405574471588,1.72719872403369e-18,0.698854551310881,0.0586042025279162,0.892393462248165
"PTHR22974",23.4156564097245,1.6380298879058e-05,4.51707818232652,0.0392094563372286,1.85793220958359,-1.41886887436813,0.955175561940693,0.66759558820678,1.94512117312623,-2.12534189774881,0.0581679566215005,0.0392094563372286,-0.305127593892649,0.178995928709468
"PTHR22978",76.3487113245082,3.61015435813484e-11,0.338527693675228,0.563649639925895,4.74563149508366,0.291486351056237,0.716788232516192,0.500980846635246,6.62068834253142,0.581831327512732,4.12171636415744e-08,0.563649639925895,0.0873788787100614,0.832280007261839
"PTHR22981_SF51",9.60029071504427,0.00338467221390173,1.12882532193846,0.293822796346723,0.785359959112861,-0.400722217129824,0.539634608547383,0.377163841145565,1.45535506187591,-1.06246191552378,0.152669066430559,0.293822796346723,-0.158156249234551,0.632568474692393
"PTHR22984_SF4",22.4179357578908,2.30320260324172e-05,0.484778891045798,0.489927485401913,2.23365708297771,0.281926402059752,0.579340170803785,0.404915030817741,3.85551908109307,0.69626064878449,0.000372492153713171,0.489927485401913,0.10439173900095,0.792467766766645
