"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","Coefficient Intercept","Coefficient log10MLSP","Coef SE Intercept","Coef SE log10MLSP","Coef tval Intercept","Coef tval log10MLSP","Coef pval Intercept","Coef pval log10MLSP","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR14549",56.5930572614606,1.97262946478132e-09,1.21082282039229,0.277153037110381,1.26845869363253,-0.180440761302324,0.244865725629367,0.163981310177494,5.18022148821468,-1.10037394570768,5.30547687392528e-06,0.277153037110381,-0.16365116194528,0.773270203176604
"PTHR14554",5.28948654897024,0.0262567116457375,0.268774945992762,0.606752255651957,0.771949807518208,0.304458055278549,0.876933630468097,0.587263592294349,0.880283046170952,0.518435093326795,0.383488909745094,0.606752255651957,0.077919407175763,0.934278298484384
"PTHR14555",42.6631518412799,5.57150995137431e-08,0.116442036571365,0.734550118944687,2.65840911936738,0.177072473315959,0.774871709995105,0.518914919178191,3.4307732300411,0.34123604230996,0.00131974698418672,0.734550118944687,0.0513753337874793,0.95517528298293
"PTHR14562",42.2814938315619,6.1525654181809e-08,1.7370195465602,0.194337680494931,1.66058021473134,-0.306656862547436,0.347443333775536,0.23267532823759,4.77942747292469,-1.31796037366842,1.99061615911831e-05,0.194337680494931,-0.194880516770652,0.699547995236759
"PTHR14564",3.8572424493737,0.0558688283244662,0.14401861936671,0.706143678900564,3.45525476771015,-0.614808896836576,2.41915931577864,1.62005896541812,1.42828739933485,-0.379497851596962,0.160269472270805,0.706143678900564,-0.0571180521279056,0.954569206498489
"PTHR14566",14.9305818715682,0.000362965214320998,0.161023829602683,0.69015790471966,0.893308373612678,0.128683172202482,0.478861951344108,0.320683550030247,1.86548204781205,0.401277746209135,0.0687901797740678,0.69015790471966,0.0603845047625098,0.943946128941968
"PTHR14569",0.320472111041937,0.574200175370696,15.3489836381269,0.000307892488508026,-5.98274088146042,5.40868109955709,2.06150889249103,1.38054816885606,-2.90211742634356,3.91777789545642,0.00577096232571691,0.000307892488508026,0.50854942613657,0.0111358220738932
"PTHR14571",167.385863534899,1.34978379836633e-16,0.0157076812401233,0.900832971453833,2.02602755273098,0.0234592027954404,0.279505821743933,0.187179037548039,7.24860591486035,0.125330288598261,4.94803842315258e-09,0.900832971453833,0.0188908802629784,0.982773275746658
"PTHR14580_SF0",6.4897623426206,0.0144202325201553,0.0413968855488477,0.839711813701386,0.801105575706473,0.0852655630529953,0.625782592589217,0.419073143680267,1.28016596369651,0.203462246003645,0.207194955105733,0.839711813701386,0.0306586686474162,0.972749982002543
"PTHR14581",34.875102468638,4.64538020402099e-07,0.58740406183072,0.447517317378952,2.05490050034018,-0.264572437343328,0.515477571519414,0.345204243377083,3.98640137587983,-0.766422900121545,0.00024925160807242,0.447517317378952,-0.114778984677491,0.876422080535851
